,Group,Attribute,Year,QuestionNo,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
166,Religion,Do not support cause,2013,nv_030,0.073461784,12.88473161,0.054864925,0.092058642,1133,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,AB,
167,Religion,Support cause,2013,nv_030,0.035065623,48.79197712,0.001450654,0.068680593,85,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,AB,…
168,Entreprises et professionnels,Do not support cause,2013,nv_030,0.083932088,5.568230478,0.074749862,0.093114314,6824,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,CA,
169,Entreprises et professionnels,Support cause,2013,nv_030,0.061702778,33.32420435,0.021304091,0.102101465,568,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,CA,…
170,Entreprises et professionnels,Do not support cause,2013,nv_030,0.063053114,12.04339837,0.048133475,0.077972754,1788,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,BC,
171,Entreprises et professionnels,Support cause,2013,nv_030,0.071902431,50.14840793,0.001058367,0.142746494,112,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,BC,…
172,Entreprises et professionnels,Do not support cause,2013,nv_030,0.069494786,12.7309966,0.052112081,0.086877491,1133,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,AB,
173,Entreprises et professionnels,Support cause,2013,nv_030,0.067313367,77.04816974,-0.034584802,0.169211536,85,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,AB,…
174,Autre,Do not support cause,2013,nv_030,0.083928463,5.566554926,0.074749397,0.09310753,6824,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,CA,
175,Autre,Support cause,2013,nv_030,0.059429818,40.86657079,0.011712575,0.10714706,568,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,CA,…
176,Autre,Do not support cause,2013,nv_030,0.064023705,11.82185694,0.049153079,0.078894331,1788,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,BC,
177,Autre,Support cause,2013,nv_030,0.026190638,102.4405523,-0.026522726,0.078904001,112,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,BC,…
178,Autre,Do not support cause,2013,nv_030,0.070392886,12.74178958,0.052770612,0.08801516,1133,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,AB,
179,Autre,Support cause,2013,nv_030,0.035205134,98.00995054,-0.032586939,0.102997207,85,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,AB,…
180,Arts et culture,Do not support cause,2013,nv_040,0.310910013,2.536123311,0.295418001,0.326402024,5257,Aucune sollicitation,Barriers to volunteering by cause support,CA,
181,Arts et culture,Support cause,2013,nv_040,0.248074916,11.65381657,0.191274205,0.304875627,2124,Aucune sollicitation,Barriers to volunteering by cause support,CA,
182,Arts et culture,Do not support cause,2013,nv_040,0.346271804,4.686344397,0.314389179,0.378154429,1323,Aucune sollicitation,Barriers to volunteering by cause support,BC,
183,Arts et culture,Support cause,2013,nv_040,0.314769302,17.77978075,0.204812648,0.424725955,575,Aucune sollicitation,Barriers to volunteering by cause support,BC,*
184,Arts et culture,Do not support cause,2013,nv_040,0.266228455,6.185037041,0.233876575,0.298580335,926,Aucune sollicitation,Barriers to volunteering by cause support,AB,
185,Arts et culture,Support cause,2013,nv_040,0.15486561,29.97310238,0.063666747,0.246064474,290,Aucune sollicitation,Barriers to volunteering by cause support,AB,*
186,Sport et loisir,Do not support cause,2013,nv_040,0.308255933,2.942454322,0.290435267,0.326076598,5257,Aucune sollicitation,Barriers to volunteering by cause support,CA,
187,Sport et loisir,Support cause,2013,nv_040,0.30053165,5.145049757,0.270152016,0.330911284,2124,Aucune sollicitation,Barriers to volunteering by cause support,CA,
188,Sport et loisir,Do not support cause,2013,nv_040,0.356871482,5.148781214,0.320770499,0.392972464,1323,Aucune sollicitation,Barriers to volunteering by cause support,BC,
189,Sport et loisir,Support cause,2013,nv_040,0.3089782,9.430592105,0.251728984,0.366227416,575,Aucune sollicitation,Barriers to volunteering by cause support,BC,
190,Sport et loisir,Do not support cause,2013,nv_040,0.271900572,7.111505584,0.233910124,0.309891021,926,Aucune sollicitation,Barriers to volunteering by cause support,AB,
191,Sport et loisir,Support cause,2013,nv_040,0.21638367,12.70369909,0.162375754,0.270391586,290,Aucune sollicitation,Barriers to volunteering by cause support,AB,
192,Éducation et recherche,Do not support cause,2013,nv_040,0.31030178,2.736248304,0.293619995,0.326983564,5257,Aucune sollicitation,Barriers to volunteering by cause support,CA,
193,Éducation et recherche,Support cause,2013,nv_040,0.290974105,5.766970724,0.258005176,0.323943033,2124,Aucune sollicitation,Barriers to volunteering by cause support,CA,
194,Éducation et recherche,Do not support cause,2013,nv_040,0.339182044,5.135863797,0.3049566,0.373407489,1323,Aucune sollicitation,Barriers to volunteering by cause support,BC,
195,Éducation et recherche,Support cause,2013,nv_040,0.366852346,9.64958969,0.297301424,0.436403267,575,Aucune sollicitation,Barriers to volunteering by cause support,BC,
196,Éducation et recherche,Do not support cause,2013,nv_040,0.260629025,7.006499043,0.22475116,0.29650689,926,Aucune sollicitation,Barriers to volunteering by cause support,AB,
197,Éducation et recherche,Support cause,2013,nv_040,0.250026669,13.43505794,0.184028996,0.316024341,290,Aucune sollicitation,Barriers to volunteering by cause support,AB,
198,Universités et collèges,Do not support cause,2013,nv_040,0.305781171,2.548414496,0.290470876,0.321091465,5257,Aucune sollicitation,Barriers to volunteering by cause support,CA,
199,Universités et collèges,Support cause,2013,nv_040,0.31727197,11.62969033,0.244777881,0.389766059,2124,Aucune sollicitation,Barriers to volunteering by cause support,CA,
200,Universités et collèges,Do not support cause,2013,nv_040,0.342273111,4.517353306,0.311895083,0.37265114,1323,Aucune sollicitation,Barriers to volunteering by cause support,BC,
201,Universités et collèges,Support cause,2013,nv_040,0.394199375,24.4186778,0.205077912,0.583320837,575,Aucune sollicitation,Barriers to volunteering by cause support,BC,*
202,Universités et collèges,Do not support cause,2013,nv_040,0.253421406,6.188841877,0.222606885,0.284235927,926,Aucune sollicitation,Barriers to volunteering by cause support,AB,
203,Universités et collèges,Support cause,2013,nv_040,0.338549565,26.11899132,0.164816932,0.512282199,290,Aucune sollicitation,Barriers to volunteering by cause support,AB,*
204,Santé,Do not support cause,2013,nv_040,0.303770856,2.682749794,0.287759466,0.319782245,5257,Aucune sollicitation,Barriers to volunteering by cause support,CA,
205,Santé,Support cause,2013,nv_040,0.324286163,6.541598529,0.282607379,0.365964948,2124,Aucune sollicitation,Barriers to volunteering by cause support,CA,
206,Santé,Do not support cause,2013,nv_040,0.351795906,4.780019012,0.318757191,0.38483462,1323,Aucune sollicitation,Barriers to volunteering by cause support,BC,
207,Santé,Support cause,2013,nv_040,0.291495127,13.39296923,0.214792381,0.368197873,575,Aucune sollicitation,Barriers to volunteering by cause support,BC,
208,Santé,Do not support cause,2013,nv_040,0.252546163,6.58535115,0.219870647,0.285221679,926,Aucune sollicitation,Barriers to volunteering by cause support,AB,
209,Santé,Support cause,2013,nv_040,0.303201614,16.11101504,0.207226828,0.399176401,290,Aucune sollicitation,Barriers to volunteering by cause support,AB,
210,Hôpitaux,Do not support cause,2013,nv_040,0.310970506,2.552939227,0.29537274,0.326568273,5257,Aucune sollicitation,Barriers to volunteering by cause support,CA,
211,Hôpitaux,Support cause,2013,nv_040,0.209596745,12.57963979,0.157793677,0.261399813,2124,Aucune sollicitation,Barriers to volunteering by cause support,CA,
212,Hôpitaux,Do not support cause,2013,nv_040,0.342719209,4.645405113,0.31143935,0.373999068,1323,Aucune sollicitation,Barriers to volunteering by cause support,BC,
213,Hôpitaux,Support cause,2013,nv_040,0.378525427,15.5960717,0.262537437,0.494513417,575,Aucune sollicitation,Barriers to volunteering by cause support,BC,
214,Hôpitaux,Do not support cause,2013,nv_040,0.26032404,6.382642592,0.227678975,0.292969106,926,Aucune sollicitation,Barriers to volunteering by cause support,AB,
215,Hôpitaux,Support cause,2013,nv_040,0.229093891,26.59706891,0.109378489,0.348809293,290,Aucune sollicitation,Barriers to volunteering by cause support,AB,*
216,Services sociaux,Do not support cause,2013,nv_040,0.306289504,2.829471682,0.289262422,0.323316585,5257,Aucune sollicitation,Barriers to volunteering by cause support,CA,
217,Services sociaux,Support cause,2013,nv_040,0.306721958,5.463250322,0.273799011,0.339644906,2124,Aucune sollicitation,Barriers to volunteering by cause support,CA,
218,Services sociaux,Do not support cause,2013,nv_040,0.339845261,5.300639686,0.304452679,0.375237843,1323,Aucune sollicitation,Barriers to volunteering by cause support,BC,
219,Services sociaux,Support cause,2013,nv_040,0.357025036,8.72542021,0.295819914,0.418230157,575,Aucune sollicitation,Barriers to volunteering by cause support,BC,
220,Services sociaux,Do not support cause,2013,nv_040,0.264092419,7.469395925,0.225335954,0.302848884,926,Aucune sollicitation,Barriers to volunteering by cause support,AB,
221,Services sociaux,Support cause,2013,nv_040,0.243612479,11.30776213,0.189489844,0.297735115,290,Aucune sollicitation,Barriers to volunteering by cause support,AB,
222,Environnement,Do not support cause,2013,nv_040,0.305509613,2.580039262,0.29002309,0.320996137,5257,Aucune sollicitation,Barriers to volunteering by cause support,CA,
223,Environnement,Support cause,2013,nv_040,0.319816084,9.415715325,0.260652243,0.378979925,2124,Aucune sollicitation,Barriers to volunteering by cause support,CA,
224,Environnement,Do not support cause,2013,nv_040,0.343958714,4.555258262,0.313174926,0.374742502,1323,Aucune sollicitation,Barriers to volunteering by cause support,BC,
225,Environnement,Support cause,2013,nv_040,0.35214415,16.75837022,0.236198355,0.468089944,575,Aucune sollicitation,Barriers to volunteering by cause support,BC,*
226,Environnement,Do not support cause,2013,nv_040,0.263749214,6.343006116,0.230880021,0.296618407,926,Aucune sollicitation,Barriers to volunteering by cause support,AB,
227,Environnement,Support cause,2013,nv_040,0.137288044,40.30759953,0.028564802,0.246011286,290,Aucune sollicitation,Barriers to volunteering by cause support,AB,…
228,Aménagement et logement,Do not support cause,2013,nv_040,0.306343175,2.65411282,0.290368562,0.322317787,5257,Aucune sollicitation,Barriers to volunteering by cause support,CA,
229,Aménagement et logement,Support cause,2013,nv_040,0.3069201,8.500781486,0.255659118,0.358181083,2124,Aucune sollicitation,Barriers to volunteering by cause support,CA,
230,Aménagement et logement,Do not support cause,2013,nv_040,0.352832751,4.570967024,0.321145853,0.384519648,1323,Aucune sollicitation,Barriers to volunteering by cause support,BC,
231,Aménagement et logement,Support cause,2013,nv_040,0.263861871,16.19353736,0.179911792,0.347811949,575,Aucune sollicitation,Barriers to volunteering by cause support,BC,
232,Aménagement et logement,Do not support cause,2013,nv_040,0.26165623,6.366461596,0.22892729,0.29438517,926,Aucune sollicitation,Barriers to volunteering by cause support,AB,
233,Aménagement et logement,Support cause,2013,nv_040,0.216201875,27.56921859,0.099093851,0.3333099,290,Aucune sollicitation,Barriers to volunteering by cause support,AB,*
234,"Droit, plaidoyer et politique",Do not support cause,2013,nv_040,0.30810692,2.562181024,0.292596841,0.323616999,5257,Aucune sollicitation,Barriers to volunteering by cause support,CA,
235,"Droit, plaidoyer et politique",Support cause,2013,nv_040,0.266535063,13.49696937,0.195855582,0.337214544,2124,Aucune sollicitation,Barriers to volunteering by cause support,CA,
236,"Droit, plaidoyer et politique",Do not support cause,2013,nv_040,0.345597546,4.545362638,0.314734277,0.376460816,1323,Aucune sollicitation,Barriers to volunteering by cause support,BC,
237,"Droit, plaidoyer et politique",Support cause,2013,nv_040,0.316525943,24.41158719,0.164713255,0.468338631,575,Aucune sollicitation,Barriers to volunteering by cause support,BC,*
238,"Droit, plaidoyer et politique",Do not support cause,2013,nv_040,0.260248935,6.34457956,0.227807911,0.292689958,926,Aucune sollicitation,Barriers to volunteering by cause support,AB,
239,"Droit, plaidoyer et politique",Support cause,2013,nv_040,0.226293009,36.00786075,0.06620043,0.386385587,290,Aucune sollicitation,Barriers to volunteering by cause support,AB,…
240,"Subventions, collecte de fonds",Do not support cause,2013,nv_040,0.304420195,2.5559784,0.289132804,0.319707587,5257,Aucune sollicitation,Barriers to volunteering by cause support,CA,
241,"Subventions, collecte de fonds",Support cause,2013,nv_040,0.3596422,10.79583428,0.283358878,0.435925522,2124,Aucune sollicitation,Barriers to volunteering by cause support,CA,
242,"Subventions, collecte de fonds",Do not support cause,2013,nv_040,0.347246969,4.529402922,0.316345284,0.378148654,1323,Aucune sollicitation,Barriers to volunteering by cause support,BC,
243,"Subventions, collecte de fonds",Support cause,2013,nv_040,0.263897399,26.95311793,0.124148993,0.403645805,575,Aucune sollicitation,Barriers to volunteering by cause support,BC,*
244,"Subventions, collecte de fonds",Do not support cause,2013,nv_040,0.250188351,6.354221634,0.218954022,0.281422681,926,Aucune sollicitation,Barriers to volunteering by cause support,AB,
245,"Subventions, collecte de fonds",Support cause,2013,nv_040,0.445489267,17.89679197,0.288844757,0.602133776,290,Aucune sollicitation,Barriers to volunteering by cause support,AB,*
246,International,Do not support cause,2013,nv_040,0.30551891,2.517726253,0.290405956,0.320631863,5257,Aucune sollicitation,Barriers to volunteering by cause support,CA,
247,International,Support cause,2013,nv_040,0.349642173,15.82702988,0.240918034,0.458366311,2124,Aucune sollicitation,Barriers to volunteering by cause support,CA,
248,International,Do not support cause,2013,nv_040,0.346848801,4.465984386,0.316414723,0.377282878,1323,Aucune sollicitation,Barriers to volunteering by cause support,BC,
249,International,Support cause,2013,nv_040,0.150380155,88.24896263,-0.110356974,0.411117284,575,Aucune sollicitation,Barriers to volunteering by cause support,BC,…
250,International,Do not support cause,2013,nv_040,0.256707023,6.307337587,0.224895346,0.288518701,926,Aucune sollicitation,Barriers to volunteering by cause support,AB,
251,International,Support cause,2013,nv_040,0.35739224,37.96314716,0.090822979,0.623961502,290,Aucune sollicitation,Barriers to volunteering by cause support,AB,…
252,Religion,Do not support cause,2013,nv_040,0.314075702,2.738331532,0.297178177,0.330973228,5257,Aucune sollicitation,Barriers to volunteering by cause support,CA,
253,Religion,Support cause,2013,nv_040,0.274435893,6.331619532,0.24029629,0.308575496,2124,Aucune sollicitation,Barriers to volunteering by cause support,CA,
254,Religion,Do not support cause,2013,nv_040,0.364553487,5.012993231,0.328647975,0.400458998,1323,Aucune sollicitation,Barriers to volunteering by cause support,BC,
255,Religion,Support cause,2013,nv_040,0.27519012,10.1726876,0.220189031,0.330191209,575,Aucune sollicitation,Barriers to volunteering by cause support,BC,
256,Religion,Do not support cause,2013,nv_040,0.261180079,6.7909375,0.226332507,0.296027651,926,Aucune sollicitation,Barriers to volunteering by cause support,AB,
257,Religion,Support cause,2013,nv_040,0.237280138,19.41684469,0.146760505,0.327799771,290,Aucune sollicitation,Barriers to volunteering by cause support,AB,*
258,Entreprises et professionnels,Do not support cause,2013,nv_040,0.307378997,2.52804569,0.292111711,0.322646283,5257,Aucune sollicitation,Barriers to volunteering by cause support,CA,
259,Entreprises et professionnels,Support cause,2013,nv_040,0.26796569,15.92927237,0.184101246,0.351830134,2124,Aucune sollicitation,Barriers to volunteering by cause support,CA,
260,Entreprises et professionnels,Do not support cause,2013,nv_040,0.344448869,4.560947269,0.313582712,0.375315026,1323,Aucune sollicitation,Barriers to volunteering by cause support,BC,
261,Entreprises et professionnels,Support cause,2013,nv_040,0.348347292,20.59522921,0.207391862,0.489302722,575,Aucune sollicitation,Barriers to volunteering by cause support,BC,*
262,Entreprises et professionnels,Do not support cause,2013,nv_040,0.259332697,6.329602895,0.227082194,0.291583199,926,Aucune sollicitation,Barriers to volunteering by cause support,AB,
263,Entreprises et professionnels,Support cause,2013,nv_040,0.221799851,37.27227874,0.05937595,0.384223752,290,Aucune sollicitation,Barriers to volunteering by cause support,AB,…
264,Autre,Do not support cause,2013,nv_040,0.306372365,2.517723115,0.291217213,0.321527517,5257,Aucune sollicitation,Barriers to volunteering by cause support,CA,
265,Autre,Support cause,2013,nv_040,0.307529457,16.68175545,0.206736262,0.408322653,2124,Aucune sollicitation,Barriers to volunteering by cause support,CA,*
266,Autre,Do not support cause,2013,nv_040,0.346198559,4.510674543,0.315517561,0.376879558,1323,Aucune sollicitation,Barriers to volunteering by cause support,BC,
267,Autre,Support cause,2013,nv_040,0.256824049,33.36869955,0.088449009,0.425199088,575,Aucune sollicitation,Barriers to volunteering by cause support,BC,…
268,Autre,Do not support cause,2013,nv_040,0.259141528,6.353550742,0.22679287,0.291490185,926,Aucune sollicitation,Barriers to volunteering by cause support,AB,
269,Autre,Support cause,2013,nv_040,0.242975345,39.43217387,0.054733717,0.431216973,290,Aucune sollicitation,Barriers to volunteering by cause support,AB,…
270,Arts et culture,Do not support cause,2013,nv_050,0.161550272,4.272885226,0.147988025,0.175112519,6482,Ne savaient pas comment s'engager plus,Barriers to volunteering by cause support,CA,
271,Arts et culture,Support cause,2013,nv_050,0.117944313,23.33205603,0.063877253,0.172011374,905,Ne savaient pas comment s'engager plus,Barriers to volunteering by cause support,CA,*
272,Arts et culture,Do not support cause,2013,nv_050,0.16158761,8.149265378,0.135715654,0.187459566,1679,Ne savaient pas comment s'engager plus,Barriers to volunteering by cause support,BC,
273,Arts et culture,Support cause,2013,nv_050,0.154746726,32.25071827,0.056693113,0.25280034,220,Ne savaient pas comment s'engager plus,Barriers to volunteering by cause support,BC,*
274,Arts et culture,Do not support cause,2013,nv_050,0.131879701,10.4003466,0.104931579,0.158827824,1078,Ne savaient pas comment s'engager plus,Barriers to volunteering by cause support,AB,
275,Arts et culture,Support cause,2013,nv_050,0.069970452,41.10686493,0.01345961,0.126481293,138,Ne savaient pas comment s'engager plus,Barriers to volunteering by cause support,AB,…
276,Sport et loisir,Do not support cause,2013,nv_050,0.170414804,4.449545486,0.155516882,0.185312727,6482,Ne savaient pas comment s'engager plus,Barriers to volunteering by cause support,CA,
277,Sport et loisir,Support cause,2013,nv_050,0.12056503,9.680233294,0.09763472,0.14349534,905,Ne savaient pas comment s'engager plus,Barriers to volunteering by cause support,CA,
278,Sport et loisir,Do not support cause,2013,nv_050,0.174984673,8.926070425,0.144297063,0.205672283,1679,Ne savaient pas comment s'engager plus,Barriers to volunteering by cause support,BC,
279,Sport et loisir,Support cause,2013,nv_050,0.121195265,17.05984689,0.080573057,0.161817472,220,Ne savaient pas comment s'engager plus,Barriers to volunteering by cause support,BC,*
280,Sport et loisir,Do not support cause,2013,nv_050,0.139694196,11.0456654,0.10937812,0.170010272,1078,Ne savaient pas comment s'engager plus,Barriers to volunteering by cause support,AB,
281,Sport et loisir,Support cause,2013,nv_050,0.089896358,19.97420665,0.054617512,0.125175205,138,Ne savaient pas comment s'engager plus,Barriers to volunteering by cause support,AB,*
282,Éducation et recherche,Do not support cause,2013,nv_050,0.15295946,4.65614992,0.138966614,0.166952305,6482,Ne savaient pas comment s'engager plus,Barriers to volunteering by cause support,CA,
283,Éducation et recherche,Support cause,2013,nv_050,0.180136659,8.401870741,0.150400776,0.209872543,905,Ne savaient pas comment s'engager plus,Barriers to volunteering by cause support,CA,
284,Éducation et recherche,Do not support cause,2013,nv_050,0.148859473,9.286051699,0.121700689,0.176018256,1679,Ne savaient pas comment s'engager plus,Barriers to volunteering by cause support,BC,
285,Éducation et recherche,Support cause,2013,nv_050,0.212270158,15.60654793,0.147182516,0.2773578,220,Ne savaient pas comment s'engager plus,Barriers to volunteering by cause support,BC,
286,Éducation et recherche,Do not support cause,2013,nv_050,0.121828923,11.70334387,0.093815698,0.149842148,1078,Ne savaient pas comment s'engager plus,Barriers to volunteering by cause support,AB,
287,Éducation et recherche,Support cause,2013,nv_050,0.155024613,19.56723994,0.095426437,0.214622789,138,Ne savaient pas comment s'engager plus,Barriers to volunteering by cause support,AB,*
288,Universités et collèges,Do not support cause,2013,nv_050,0.15382109,4.372862684,0.140605564,0.167036617,6482,Ne savaient pas comment s'engager plus,Barriers to volunteering by cause support,CA,
289,Universités et collèges,Support cause,2013,nv_050,0.239981516,16.01918136,0.164451278,0.315511755,905,Ne savaient pas comment s'engager plus,Barriers to volunteering by cause support,CA,
290,Universités et collèges,Do not support cause,2013,nv_050,0.148871604,8.411886508,0.124267474,0.173475734,1679,Ne savaient pas comment s'engager plus,Barriers to volunteering by cause support,BC,
291,Universités et collèges,Support cause,2013,nv_050,0.427531383,22.20131849,0.241043977,0.614018789,220,Ne savaient pas comment s'engager plus,Barriers to volunteering by cause support,BC,*
292,Universités et collèges,Do not support cause,2013,nv_050,0.120077506,10.37021819,0.095612107,0.144542904,1078,Ne savaient pas comment s'engager plus,Barriers to volunteering by cause support,AB,
293,Universités et collèges,Support cause,2013,nv_050,0.24480613,33.7751514,0.08235515,0.40725711,138,Ne savaient pas comment s'engager plus,Barriers to volunteering by cause support,AB,…
294,Santé,Do not support cause,2013,nv_050,0.158966518,4.344987182,0.145395985,0.172537051,6482,Ne savaient pas comment s'engager plus,Barriers to volunteering by cause support,CA,
295,Santé,Support cause,2013,nv_050,0.15489682,11.60360502,0.11958353,0.19021011,905,Ne savaient pas comment s'engager plus,Barriers to volunteering by cause support,CA,
296,Santé,Do not support cause,2013,nv_050,0.164916756,8.284244137,0.138074413,0.191759098,1679,Ne savaient pas comment s'engager plus,Barriers to volunteering by cause support,BC,
297,Santé,Support cause,2013,nv_050,0.134054846,25.47844855,0.066949327,0.201160364,220,Ne savaient pas comment s'engager plus,Barriers to volunteering by cause support,BC,*
298,Santé,Do not support cause,2013,nv_050,0.126005516,10.81637071,0.09922778,0.152783253,1078,Ne savaient pas comment s'engager plus,Barriers to volunteering by cause support,AB,
299,Santé,Support cause,2013,nv_050,0.141028971,27.48729511,0.064866139,0.217191803,138,Ne savaient pas comment s'engager plus,Barriers to volunteering by cause support,AB,*
300,Hôpitaux,Do not support cause,2013,nv_050,0.160830553,4.22039105,0.147494602,0.174166504,6482,Ne savaient pas comment s'engager plus,Barriers to volunteering by cause support,CA,
301,Hôpitaux,Support cause,2013,nv_050,0.10787137,30.64304052,0.042927107,0.172815634,905,Ne savaient pas comment s'engager plus,Barriers to volunteering by cause support,CA,*
302,Hôpitaux,Do not support cause,2013,nv_050,0.159706831,8.173610217,0.13405962,0.185354043,1679,Ne savaient pas comment s'engager plus,Barriers to volunteering by cause support,BC,
303,Hôpitaux,Support cause,2013,nv_050,0.188817947,27.7726654,0.085787976,0.291847917,220,Ne savaient pas comment s'engager plus,Barriers to volunteering by cause support,BC,*
304,Hôpitaux,Do not support cause,2013,nv_050,0.126821318,10.42885168,0.100835793,0.152806843,1078,Ne savaient pas comment s'engager plus,Barriers to volunteering by cause support,AB,
305,Hôpitaux,Support cause,2013,nv_050,0.146570361,39.23509345,0.033584632,0.25955609,138,Ne savaient pas comment s'engager plus,Barriers to volunteering by cause support,AB,…
306,Services sociaux,Do not support cause,2013,nv_050,0.160172258,4.688063738,0.145419149,0.174925367,6482,Ne savaient pas comment s'engager plus,Barriers to volunteering by cause support,CA,
307,Services sociaux,Support cause,2013,nv_050,0.153313981,9.093372443,0.125922881,0.180705082,905,Ne savaient pas comment s'engager plus,Barriers to volunteering by cause support,CA,
308,Services sociaux,Do not support cause,2013,nv_050,0.159962684,9.091572036,0.131389384,0.188535985,1679,Ne savaient pas comment s'engager plus,Barriers to volunteering by cause support,BC,
309,Services sociaux,Support cause,2013,nv_050,0.164522205,15.05682233,0.11585229,0.21319212,220,Ne savaient pas comment s'engager plus,Barriers to volunteering by cause support,BC,
310,Services sociaux,Do not support cause,2013,nv_050,0.13351735,11.25200626,0.104000473,0.163034227,1078,Ne savaient pas comment s'engager plus,Barriers to volunteering by cause support,AB,
311,Services sociaux,Support cause,2013,nv_050,0.111957444,19.1390663,0.06985799,0.154056898,138,Ne savaient pas comment s'engager plus,Barriers to volunteering by cause support,AB,*
312,Environnement,Do not support cause,2013,nv_050,0.15791986,4.284421413,0.144626595,0.171213126,6482,Ne savaient pas comment s'engager plus,Barriers to volunteering by cause support,CA,
313,Environnement,Support cause,2013,nv_050,0.166354351,14.49240116,0.118987201,0.213721501,905,Ne savaient pas comment s'engager plus,Barriers to volunteering by cause support,CA,
314,Environnement,Do not support cause,2013,nv_050,0.152829389,8.435673173,0.127499729,0.17815905,1679,Ne savaient pas comment s'engager plus,Barriers to volunteering by cause support,BC,
315,Environnement,Support cause,2013,nv_050,0.264580952,21.8287122,0.151108763,0.378053141,220,Ne savaient pas comment s'engager plus,Barriers to volunteering by cause support,BC,*
316,Environnement,Do not support cause,2013,nv_050,0.130782517,10.20641612,0.104556901,0.157008134,1078,Ne savaient pas comment s'engager plus,Barriers to volunteering by cause support,AB,
317,Environnement,Support cause,2013,nv_050,0.057114594,51.10451447,-0.000232195,0.114461383,138,Ne savaient pas comment s'engager plus,Barriers to volunteering by cause support,AB,…
318,Aménagement et logement,Do not support cause,2013,nv_050,0.159017686,4.344453894,0.145444451,0.172590921,6482,Ne savaient pas comment s'engager plus,Barriers to volunteering by cause support,CA,
319,Aménagement et logement,Support cause,2013,nv_050,0.15304797,15.16347517,0.107451727,0.198644213,905,Ne savaient pas comment s'engager plus,Barriers to volunteering by cause support,CA,
320,Aménagement et logement,Do not support cause,2013,nv_050,0.163117583,7.990616718,0.137509102,0.188726064,1679,Ne savaient pas comment s'engager plus,Barriers to volunteering by cause support,BC,
321,Aménagement et logement,Support cause,2013,nv_050,0.142670327,30.14644713,0.058167248,0.227173406,220,Ne savaient pas comment s'engager plus,Barriers to volunteering by cause support,BC,*
322,Aménagement et logement,Do not support cause,2013,nv_050,0.130116566,10.47979713,0.10332561,0.156907522,1078,Ne savaient pas comment s'engager plus,Barriers to volunteering by cause support,AB,
323,Aménagement et logement,Support cause,2013,nv_050,0.093726356,40.49705292,0.019152278,0.168300434,138,Ne savaient pas comment s'engager plus,Barriers to volunteering by cause support,AB,…
324,"Droit, plaidoyer et politique",Do not support cause,2013,nv_050,0.159726896,4.149345959,0.146705413,0.172748379,6482,Ne savaient pas comment s'engager plus,Barriers to volunteering by cause support,CA,
325,"Droit, plaidoyer et politique",Support cause,2013,nv_050,0.128501648,25.32219322,0.064570463,0.192432834,905,Ne savaient pas comment s'engager plus,Barriers to volunteering by cause support,CA,*
326,"Droit, plaidoyer et politique",Do not support cause,2013,nv_050,0.163846867,7.827678607,0.138648414,0.189045319,1679,Ne savaient pas comment s'engager plus,Barriers to volunteering by cause support,BC,
327,"Droit, plaidoyer et politique",Support cause,2013,nv_050,0.09019168,67.47548896,-0.029376401,0.209759762,220,Ne savaient pas comment s'engager plus,Barriers to volunteering by cause support,BC,…
328,"Droit, plaidoyer et politique",Do not support cause,2013,nv_050,0.130336234,10.26086007,0.104060692,0.156611775,1078,Ne savaient pas comment s'engager plus,Barriers to volunteering by cause support,AB,
329,"Droit, plaidoyer et politique",Support cause,2013,nv_050,0.07535542,74.27585572,-0.034612219,0.185323058,138,Ne savaient pas comment s'engager plus,Barriers to volunteering by cause support,AB,…
330,"Subventions, collecte de fonds",Do not support cause,2013,nv_050,0.157466188,4.232655828,0.144371263,0.170561112,6482,Ne savaient pas comment s'engager plus,Barriers to volunteering by cause support,CA,
331,"Subventions, collecte de fonds",Support cause,2013,nv_050,0.184936711,18.55034332,0.117533929,0.252339493,905,Ne savaient pas comment s'engager plus,Barriers to volunteering by cause support,CA,*
332,"Subventions, collecte de fonds",Do not support cause,2013,nv_050,0.16216178,8.124916885,0.136275469,0.188048092,1679,Ne savaient pas comment s'engager plus,Barriers to volunteering by cause support,BC,
333,"Subventions, collecte de fonds",Support cause,2013,nv_050,0.132773045,39.89033192,0.028713887,0.236832203,220,Ne savaient pas comment s'engager plus,Barriers to volunteering by cause support,BC,…
334,"Subventions, collecte de fonds",Do not support cause,2013,nv_050,0.125941494,10.5024351,0.099954168,0.151928819,1078,Ne savaient pas comment s'engager plus,Barriers to volunteering by cause support,AB,
